Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Nilah,112388,2.6:1,0.5081,0.0285,0,70.25,14956
Gwen,112295,2.69:1,0.5137,0.0284,0,41.31,14100
Evelynn,104823,3.09:1,0.4714,0.0265,0,21.97,14303
Elise,103182,3.23:1,0.5059,0.0261,0,32.43,14278
Taric,93857,4.18:1,0.521,0.0238,0,22.75,12426
Hecarim,92198,2.6:1,0.4559,0.0233,0,37.69,14087
Ivern,91296,4.68:1,0.5236,0.0231,0,12.95,11978
Udyr,90851,2.82:1,0.5171,0.023,0,33.29,13449
Trundle,83954,3.07:1,0.519,0.0213,0,35.99,13472
Olaf,83521,2.65:1,0.5281,0.0211,0,52.68,14524
Camille,80153,2.49:1,0.4945,0.0203,0,30.84,13929
Rell,79156,3.67:1,0.5059,0.02,0,16.79,12545
Yorick,69087,2.96:1,0.5301,0.0175,0,60.73,13486
Skarner,54577,3.14:1,0.5361,0.0138,0,29.85,13398
Rek'Sai,50163,2.7:1,0.4873,0.0127,0,24.33,14444
Kled,45359,3.27:1,0.5033,0.0115,0,38.8,13906
