Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Zac,99298,3.08:1,0.5082,0.0305,0,24.57,12780
Rakan,95735,4.18:1,0.5078,0.0294,0,12.97,11715
Udyr,94979,2.89:1,0.5189,0.0292,0,31.92,13027
Elise,89124,3.27:1,0.4972,0.0274,0,30.41,13776
Evelynn,86955,3.12:1,0.4535,0.0267,0,20.87,13773
Taric,86853,4.15:1,0.5206,0.0267,0,21.42,12038
Hecarim,86078,2.65:1,0.4495,0.0265,0,36.07,13606
Trundle,85353,3.1:1,0.5138,0.0263,0,33.04,12996
Ivern,78472,4.72:1,0.5125,0.0241,0,12.31,11615
Camille,77024,2.55:1,0.4931,0.0237,0,29.66,13507
Rell,69302,3.63:1,0.5015,0.0213,0,15.56,12091
Olaf,66120,2.63:1,0.5143,0.0203,0,48.41,13993
Yorick,62846,3.0:1,0.5199,0.0193,0,57.35,13072
Skarner,51507,3.08:1,0.5234,0.0158,0,27.22,12875
Rek'Sai,47949,2.76:1,0.4891,0.0147,0,23.74,14020
Kled,47612,3.29:1,0.4983,0.0146,0,35.75,13391
