Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Kassadin,"62,940",2.75:1,0.4744,0.0384,0,35.5,"13,794"
Zac,"61,242",3.14:1,0.5045,0.0373,0,22.93,"12,455"
Sejuani,"60,977",3.27:1,0.4982,0.0372,0,27.96,"12,597"
Singed,"60,261",2.9:1,0.5143,0.0367,0,39.38,"12,776"
Ornn,"59,650",3.1:1,0.4812,0.0364,0,27.38,"12,384"
Dr. Mundo,"58,409",2.87:1,0.4833,0.0356,0,35.6,"12,578"
Trundle,"58,027",3.42:1,0.5017,0.0354,0,29.89,"12,610"
Naafiri,"56,485",2.49:1,0.4221,0.0344,0,45.71,"14,110"
Warwick,"56,445",2.64:1,0.5008,0.0344,0,30.52,"13,183"
Braum,"55,032",4.09:1,0.5038,0.0335,0,10.91,"11,737"
Elise,"54,911",3.38:1,0.5138,0.0335,0,31.45,"13,644"
Poppy,"54,783",3.09:1,0.5102,0.0334,0,24.01,"12,771"
Renata Glasc,"54,525",4.54:1,0.5214,0.0332,0,17.35,"11,896"
Camille,"53,787",2.62:1,0.5051,0.0328,0,30.97,"13,358"
Volibear,"50,690",2.9:1,0.4817,0.0309,0,29.28,"12,706"
Hecarim,"49,555",2.69:1,0.4343,0.0302,0,35.58,"13,272"
Udyr,"48,833",2.8:1,0.5042,0.0298,0,32.26,"13,215"
Milio,"47,743",6.3:1,0.5285,0.0291,0,15.36,"11,613"
Rakan,"47,717",4.19:1,0.5048,0.0291,0,11.04,"11,388"
Ivern,"43,532",4.89:1,0.5144,0.0265,0,11.63,"11,447"
Nilah,"43,205",2.73:1,0.483,0.0263,0,70.19,"14,262"
Rell,"42,838",3.73:1,0.4996,0.0261,0,12.97,"11,745"
Rammus,"41,117",2.78:1,0.4956,0.0251,0,20,"12,025"
Briar,"37,729",2.06:1,0.3697,0.0393,0,30.74,"12,597"
Rek'Sai,"37,049",2.97:1,0.526,0.0226,0,24.78,"13,885"
Evelynn,"35,003",3.15:1,0.4458,0.0213,0,20.58,"13,623"
Taric,"33,988",4.19:1,0.5152,0.0207,0,18.85,"11,668"
Olaf,"32,906",2.65:1,0.5007,0.0201,0,46.94,"13,699"
Skarner,"28,948",3.18:1,0.5236,0.0176,0,24.39,"12,558"
Yorick,"27,669",3.02:1,0.4969,0.0169,0,54.8,"12,833"
Kled,"24,868",3.27:1,0.4683,0.0152,0,34.17,"13,126"
